id_articulo,articulo,Moneda_precio,precio_venta1,Marca
94,PURO AMOR CJ 6X 900GR,S/.,0,TODINO
95,PANETON TODINO CJA 6 X 900 GRMS,S/.,0,TODINO
96,TOFFEE D. LECHE 15BL. X110UND,S/.,0,WINTERS
97,PANETON WINTERS CJ 6 X 900GR,S/.,0,WINTERS
98,SODA SAYON X3KG,S/.,0,SAYON
99,PANETON CHOCOLUCUMA 12X500GRAMOS,S/.,0,ANDINA
100,SANDIA ARCOR 20B X100UND,S/.,0,ARCOR
101,SUBLIME BOX CJA 24 X20 UN,S/.,0,NESTLÉ
102,PANETON BAUDUCCO 18 X 400GRAMOS,S/.,0,PERU FARMA
103,BAUDUCO 6 X 750GRM,S/.,0,BAUDUCCO
104,BAUDUCOX 24,S/.,0,PERU FARMA
105,BAUDUCCO CHOCO 18X500G,S/.,0,BAUDUCCO
106,SODA SAN JORGE X 20,S/.,0,SAN JORGE
107,VAINILLA SAN JORGE X 20,S/.,0,SAN JORGE
108,SUBLIME GALLETA  12 X 24,S/.,0,NESTLÉ
109,GOLOSINAS,S/.,0,GOLOSINAS
110,SODA V SABOR PLAIN 4 PACKS DE 6 PAQUETES,S/.,0,VICTORIA
111,CHOCMAN 14X6X30GR,S/.,0,COSTA
112,DOS CABALLOS X 12,S/.,0,PERU FARMA
113,CHOCMAN CJA X 60,S/.,0,COSTA
114,PRINGLES ORIGINAL GRANDE X 14 UN X 149 GR.,S/.,6.5,QUIMICA SUIZA
115,M Y M X 48,S/.,0,PERU FARMA
116,BIG BEN BLANCO LINEAS X 12DP X 24UN,S/.,0,LABOCER
117,EGGO TOYS X 6DP X 24UN,S/.,0,IMPORTADOS
118,BIEN KREMALIM X 8DP X 24UN X 75GR.,S/.,0,IMPORTADOS
119,LEXUS CHOCOLATE X 8 BL X 100,S/.,0,IMPORTADOS
120,PELOTITAS CHOCOLATE  X1K,S/.,0,LS ANDINA
121,PANETON CHOCOTON Bl X500gr,S/.,0,NESTLÉ PERU
122,PULPIN X24 UN,S/.,0,AGEPER
123,DONOFRIO CAJA,S/.,0,NESTLE
124,PANETON DONOFRIO LATA,S/.,0,NESTLE
125,PANETON BUON NATALE BOLSA X 800GR,S/.,0,NESTLÉ
126,PANETON BUON NATALE CAJA 6 X 800GR,S/.,0,NESTLE
127,PANETON CHOCOTON MANJAR X500gr,S/.,0,NESTLÉ PERU
128,PANETON CHOCOTON VAINILLA X 500 gr,S/.,0,NESTLE
129,PANETON SAYON BOLSA  6 X 900GR,S/.,0,SAYON
130,PANETON MOTTA CAJA 6  X 750GR,S/.,0,NESTLE
131,PANETON SAYON CAJA X 6 CJ X900GR,S/.,0,SAYON
132,PANETON RICCOS BOLSA  6  X 900 GR,S/.,0,ANDINA
133,PANETON BLANCA FLOR BOLSA  X 6  X900 GR,S/.,0,ALICORP
134,PANETON BLANCA FLOR CAJA  6 X 900 GR,S/.,0,ALICORP
135,LENTEJAS A GRANEL X 1K,S/.,0,NESTLÉ
136,AMBROSITO A GRANEL X500 GR,S/.,0,AMBROSOLI
137,TRUFLE  BOLSA,S/.,0,IMPORTADOS
